,,,S,timedelta,bx_gse,by_gse,bz_gse,theta_gse,phi_gse,bx_gsm,by_gsm,bz_gsm,theta_gsm,phi_gsm,bt,density,speed,temperature,source
,,,train_a,0 days 17:19:00,-5.02,0.37,3.49,32.55,176.71,-5.02,0.37,3.49,32.55,176.71,6.44,4.46,375.36,35655,ac
,,,train_a,0 days 17:20:00,-4.96,0.31,3.6,33.68,177.38,-4.96,0.31,3.6,33.68,177.38,6.45,5.63,374.58,32455,ac
,,,train_a,0 days 17:21:00,-4.6,-0.1,4.17,39.38,181.84,-4.6,-0.1,4.17,39.38,181.84,6.53,5.68,374.58,36808,ac
,,,train_a,0 days 17:22:00,-4.43,-0.13,4.36,41.39,182.1,-4.43,-0.13,4.36,41.39,182.1,6.55,4.98,375.67,28779,ac
,,,train_a,0 days 17:23:00,-4.6,-0.08,4.21,39.55,181.58,-4.6,-0.08,4.21,39.55,181.58,6.56,4.98,375.67,28779,ac
,,,train_a,0 days 17:24:00,-4.98,0.54,3.33,31.08,175.51,-4.98,0.54,3.33,31.08,175.51,6.47,4.81,376.12,32588,ac
,,,train_a,0 days 17:25:00,-4.98,0.24,3.51,32.94,178.14,-4.98,0.24,3.51,32.94,178.14,6.42,5.02,376.24,30150,ac
,,,train_a,0 days 17:26:00,-4.76,0.04,4.07,37.85,180.34,-4.76,0.04,4.07,37.85,180.34,6.58,6.58,380.12,35243,ac
,,,train_a,0 days 17:27:00,-4.79,0.21,4.01,37.38,178.47,-4.79,0.21,4.01,37.38,178.47,6.56,5.02,375.31,27505,ac
,,,train_a,0 days 17:28:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:29:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:30:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:31:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:32:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:33:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:34:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:35:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:36:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:37:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:38:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:39:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:40:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:41:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:42:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:43:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:44:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:45:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:46:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:47:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:48:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:49:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:50:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:51:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:52:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:53:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:54:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:55:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:56:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:57:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:58:00,,,,,,,,,,,,,,,
,,,train_a,0 days 17:59:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:00:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:01:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:02:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:03:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:04:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:05:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:06:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:07:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:08:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:09:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:10:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:11:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:12:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:13:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:14:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:15:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:16:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:17:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:18:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:19:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:20:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:21:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:22:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:23:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:24:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:25:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:26:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:27:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:28:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:29:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:30:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:31:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:32:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:33:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:34:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:35:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:36:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:37:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:38:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:39:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:40:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:41:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:42:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:43:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:44:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:45:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:46:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:47:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:48:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:49:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:50:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:51:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:52:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:53:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:54:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:55:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:56:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:57:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:58:00,,,,,,,,,,,,,,,
,,,train_a,0 days 18:59:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:00:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:01:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:02:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:03:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:04:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:05:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:06:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:07:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:08:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:09:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:10:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:11:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:12:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:13:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:14:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:15:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:16:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:17:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:18:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:19:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:20:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:21:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:22:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:23:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:24:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:25:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:26:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:27:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:28:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:29:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:30:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:31:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:32:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:33:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:34:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:35:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:36:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:37:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:38:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:39:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:40:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:41:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:42:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:43:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:44:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:45:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:46:00,,,,,,,,,,,,,,,
,,,train_a,0 days 19:47:00,-5.97,1.06,2.52,20.83,171.53,-5.97,1.06,2.52,20.83,171.53,7.08,,,,ac
,,,train_a,0 days 19:48:00,-6.12,1.52,2.21,18.39,167.21,-6.12,1.52,2.21,18.39,167.21,6.98,,,,ac
,,,train_a,0 days 19:49:00,-6.4,1.55,1.84,15.04,167.53,-6.4,1.55,1.84,15.04,167.53,7.19,,,,ac
,,,train_a,0 days 19:50:00,-5.81,0.71,2.25,18.26,172.36,-5.81,0.71,2.25,18.26,172.36,7.26,2.81,375.68,28224,ac
,,,train_a,0 days 19:51:00,-6.27,1.5,2.48,20.14,167.49,-6.27,1.5,2.48,20.14,167.49,7.19,3.13,381.67,52583,ac
,,,train_a,0 days 19:52:00,-6.45,1.73,1.43,11.76,165.89,-6.45,1.73,1.43,11.76,165.89,7.11,2.94,383.51,67997,ac
,,,train_a,0 days 19:53:00,-6.6,1,0.53,4.55,172.06,-6.6,1,0.53,4.55,172.06,7,3.53,375.24,40224,ac
,,,train_a,0 days 19:54:00,-6.42,1.51,0.58,5,167.6,-6.42,1.51,0.58,5,167.6,6.95,5.04,378.74,74896,ac
,,,train_a,0 days 19:55:00,-6.32,1.26,1.42,11.98,169.69,-6.32,1.26,1.42,11.98,169.69,6.94,4.55,376.47,64878,ac
,,,train_a,0 days 19:56:00,-6.37,1.16,1.85,15.25,170.59,-6.37,1.16,1.85,15.25,170.59,7.03,3.38,373.64,45207,ac
,,,train_a,0 days 19:57:00,-6.48,1.35,1.4,11.58,169.15,-6.48,1.35,1.4,11.58,169.15,7.05,3.52,379.95,58269,ac
,,,train_a,0 days 19:58:00,-6.57,1.07,1.16,9.57,171.53,-6.57,1.07,1.16,9.57,171.53,7.06,3.52,378.8,66901,ac
,,,train_a,0 days 19:59:00,-6.51,1.08,1.4,11.6,171.42,-6.51,1.08,1.4,11.6,171.42,7.04,4.64,378.77,66645,ac
,,,train_a,0 days 20:00:00,-6.43,1.25,1.66,13.71,169.73,-6.43,1.25,1.66,13.71,169.73,7.05,3.18,372.71,49469,ac
,,,train_a,0 days 20:01:00,-6.39,1.15,1.59,13.25,170.71,-6.39,1.15,1.59,13.25,170.71,6.98,3.89,372.9,49654,ac
,,,train_a,0 days 20:02:00,-6.42,1.26,1.47,12.22,169.77,-6.42,1.26,1.47,12.22,169.77,7.02,4.48,375.11,66349,ac
,,,train_a,0 days 20:03:00,-6.43,1.14,1.53,12.72,170.78,-6.43,1.14,1.53,12.72,170.78,7,4.48,375.11,66349,ac
,,,train_a,0 days 20:04:00,-6.43,1.17,1.51,12.55,170.59,-6.43,1.17,1.51,12.55,170.59,7.03,5.31,378.21,65612,ac
,,,train_a,0 days 20:05:00,-6.38,1.19,1.61,13.41,170.29,-6.38,1.19,1.61,13.41,170.29,6.99,3.56,379.25,63902,ac
,,,train_a,0 days 20:06:00,-6.33,1.26,1.67,13.95,169.65,-6.33,1.26,1.67,13.95,169.65,6.97,4.1,381.69,60567,ac
,,,train_a,0 days 20:07:00,-6.36,1.57,1.26,10.58,167.02,-6.36,1.57,1.26,10.58,167.02,6.95,2.96,374.9,36165,ac
,,,train_a,0 days 20:08:00,-6.42,1.1,1.88,15.43,171.17,-6.42,1.1,1.88,15.43,171.17,7.08,3.55,373.42,46814,ac
,,,train_a,0 days 20:09:00,-6.45,1.16,1.68,13.81,170.78,-6.45,1.16,1.68,13.81,170.78,7.07,3.6,376.8,90067,ac
,,,train_a,0 days 20:10:00,-6.49,1.16,1.56,12.8,170.65,-6.49,1.16,1.56,12.8,170.65,7.07,4.56,375.82,75681,ac
,,,train_a,0 days 20:11:00,-6.55,1.04,1.5,12.23,171.75,-6.55,1.04,1.5,12.23,171.75,7.09,3.73,381.83,68807,ac
,,,train_a,0 days 20:12:00,-6.49,1.11,1.56,12.86,171.04,-6.49,1.11,1.56,12.86,171.04,7.04,4.54,376.49,69884,ac
,,,train_a,0 days 20:13:00,-6.26,0.84,2.12,17.74,173.16,-6.26,0.84,2.12,17.74,173.16,6.98,3.37,379.38,56909,ac
,,,train_a,0 days 20:14:00,-6.24,0.94,2.38,19.75,172.28,-6.24,0.94,2.38,19.75,172.28,7.03,3.64,377.55,59248,ac
,,,train_a,0 days 20:15:00,-6.22,0.99,2.25,18.8,171.88,-6.22,0.99,2.25,18.8,171.88,6.98,3.53,379.82,66317,ac
,,,train_a,0 days 20:16:00,-6.24,1.02,2.21,18.48,171.52,-6.24,1.02,2.21,18.48,171.52,6.99,3.74,377.2,60896,ac
,,,train_a,0 days 20:17:00,-6.25,0.99,2.13,17.77,171.95,-6.25,0.99,2.13,17.77,171.95,6.98,3.53,376.39,51479,ac
,,,train_a,0 days 20:18:00,-6.34,0.6,2.18,18.01,175.32,-6.34,0.6,2.18,18.01,175.32,7.04,5.14,377.36,67872,ac
,,,train_a,0 days 20:19:00,-6.31,0.92,2.27,18.74,172.53,-6.31,0.92,2.27,18.74,172.53,7.06,5.14,377.36,67872,ac
,,,train_a,0 days 20:20:00,-5.57,0.2,1.14,16.61,173.39,-5.57,0.2,1.14,16.61,173.39,8.68,3.65,372.48,49640,ac
,,,train_a,0 days 20:21:00,-3.39,-2.99,0.46,12.95,177.51,-3.39,-2.99,0.46,12.95,177.51,13.35,,,,ac
,,,train_a,0 days 20:22:00,-6.32,1.45,1.97,16.28,168.08,-6.32,1.45,1.97,16.28,168.08,7.07,3.65,378.16,63487,ac
,,,train_a,0 days 20:23:00,-6.33,1.21,2.07,17.03,170.15,-6.33,1.21,2.07,17.03,170.15,7.09,3.31,379.29,75808,ac
,,,train_a,0 days 20:24:00,-6.23,0.37,2.81,23.04,177.25,-6.23,0.37,2.81,23.04,177.25,7.15,3.37,376.93,63549,ac
,,,train_a,0 days 20:25:00,-6.14,0.25,3.06,25.21,178.22,-6.14,0.25,3.06,25.21,178.22,7.14,4.2,370.62,65599,ac
,,,train_a,0 days 20:26:00,-5.9,0.05,3.4,28.41,180.06,-5.9,0.05,3.4,28.41,180.06,7.1,3.61,377.55,76878,ac
,,,train_a,0 days 20:27:00,-6.22,0.41,2.69,22.25,176.81,-6.22,0.41,2.69,22.25,176.81,7.1,2.95,365.02,59343,ac
,,,train_a,0 days 20:28:00,-6.3,0.41,2.5,20.57,176.89,-6.3,0.41,2.5,20.57,176.89,7.08,3.79,365.92,65982,ac
,,,train_a,0 days 20:29:00,-6.29,0.28,2.51,20.65,178.15,-6.29,0.28,2.51,20.65,178.15,7.09,2.96,366.73,40061,ac
,,,train_a,0 days 20:30:00,-6.2,0.07,2.82,23.16,180.03,-6.2,0.07,2.82,23.16,180.03,7.15,4.49,364.95,41532,ac
,,,train_a,0 days 20:31:00,-6.26,0.6,2.67,21.91,175.24,-6.26,0.6,2.67,21.91,175.24,7.12,3.19,371.96,100230,ac
,,,train_a,0 days 20:32:00,-6.27,0.54,2.43,20.15,175.68,-6.27,0.54,2.43,20.15,175.68,7.03,3.55,374.01,72084,ac
,,,train_a,0 days 20:33:00,-6.31,0.79,1.96,16.36,173.63,-6.31,0.79,1.96,16.36,173.63,6.95,1.69,360.26,23642,ac
,,,train_a,0 days 20:34:00,-6.28,0.33,1.87,15.79,177.75,-6.28,0.33,1.87,15.79,177.75,6.88,3.52,366.25,64559,ac
,,,train_a,0 days 20:35:00,-6.2,0.6,2.13,17.96,175.25,-6.2,0.6,2.13,17.96,175.25,6.89,3.52,366.25,64559,ac
,,,train_a,0 days 20:36:00,-6.2,-0.09,2.34,19.67,181.26,-6.2,-0.09,2.34,19.67,181.26,6.91,3.08,375.35,85151,ac
,,,train_a,0 days 20:37:00,-6.24,0.1,2.13,17.9,179.53,-6.24,0.1,2.13,17.9,179.53,6.89,3.67,367.14,59291,ac
,,,train_a,0 days 20:38:00,-6.24,0.53,2.03,17.1,175.81,-6.24,0.53,2.03,17.1,175.81,6.89,2.88,374.65,86563,ac
,,,train_a,0 days 20:39:00,-6.1,0.48,2.27,19.32,176.22,-6.1,0.48,2.27,19.32,176.22,6.83,3.1,367.06,60943,ac
,,,train_a,0 days 20:40:00,-6.11,0.64,2.27,19.28,174.72,-6.11,0.64,2.27,19.28,174.72,6.84,3.18,374.08,106242,ac
,,,train_a,0 days 20:41:00,-6.09,0.7,2.28,19.44,174.27,-6.09,0.7,2.28,19.44,174.27,6.83,3.06,377.3,63669,ac
,,,train_a,0 days 20:42:00,-6.15,0.94,1.85,15.75,172.22,-6.15,0.94,1.85,15.75,172.22,6.81,2.92,378.61,89681,ac
,,,train_a,0 days 20:43:00,-6.03,0.63,2.2,18.89,174.88,-6.03,0.63,2.2,18.89,174.88,6.79,3.03,378.3,67608,ac
,,,train_a,0 days 20:44:00,-5.78,0.73,2.56,22.24,173.98,-5.78,0.73,2.56,22.24,173.98,6.74,2.59,380.63,91130,ac
,,,train_a,0 days 20:45:00,-5.79,1.02,2.57,22.36,170.92,-5.79,1.02,2.57,22.36,170.92,6.73,3.24,380.34,66117,ac
,,,train_a,0 days 20:46:00,-5.73,0.76,2.84,24.8,173.48,-5.73,0.76,2.84,24.8,173.48,6.73,2.65,369.95,67732,ac
,,,train_a,0 days 20:47:00,-5.64,0.76,2.8,24.72,173.33,-5.64,0.76,2.8,24.72,173.33,6.68,3.09,376.84,67204,ac
,,,train_a,0 days 20:48:00,-5.73,1.11,2.25,19.98,170.18,-5.73,1.11,2.25,19.98,170.18,6.58,2.53,381.96,77594,ac
,,,train_a,0 days 20:49:00,-5.78,0.63,2.39,21.08,174.83,-5.78,0.63,2.39,21.08,174.83,6.63,2.9,379.27,71655,ac
,,,train_a,0 days 20:50:00,-5.58,0.07,2.9,25.65,179.99,-5.58,0.07,2.9,25.65,179.99,6.67,4.07,382.46,62527,ac
,,,train_a,0 days 20:51:00,-5.6,-0.65,2.98,26.38,186.7,-5.6,-0.65,2.98,26.38,186.7,6.68,4.07,382.46,62527,ac
,,,train_a,0 days 20:52:00,-6.2,-0.59,1.53,13.2,185.56,-6.2,-0.59,1.53,13.2,185.56,6.71,3.5,371.72,39823,ac
,,,train_a,0 days 20:53:00,-6.32,-0.08,1.01,8.8,181.08,-6.32,-0.08,1.01,8.8,181.08,6.71,4.04,368.13,44302,ac
,,,train_a,0 days 20:54:00,-6.32,0.36,0.5,4.53,177.26,-6.32,0.36,0.5,4.53,177.26,6.66,,,,ac
,,,train_a,0 days 20:55:00,-5.99,0.37,1.65,14.64,177.27,-5.99,0.37,1.65,14.64,177.27,6.6,3.38,379.07,78815,ac
,,,train_a,0 days 20:56:00,-5.9,0.12,2.42,21.17,179.4,-5.9,0.12,2.42,21.17,179.4,6.67,2.77,379.17,68490,ac
,,,train_a,0 days 20:57:00,-6.01,0.32,2.03,17.69,177.61,-6.01,0.32,2.03,17.69,177.61,6.65,3.02,379.3,75632,ac
,,,train_a,0 days 20:58:00,-6.06,0.31,1.83,15.96,177.64,-6.06,0.31,1.83,15.96,177.64,6.64,2.56,380.7,79859,ac
,,,train_a,0 days 20:59:00,-6.15,0.46,1.48,12.91,176.38,-6.15,0.46,1.48,12.91,176.38,6.63,2.85,381.54,69843,ac
,,,train_a,0 days 21:00:00,-6.1,0.41,1.58,13.84,176.72,-6.1,0.41,1.58,13.84,176.72,6.61,2.42,381.37,77126,ac
,,,train_a,0 days 21:01:00,-6.09,0.41,1.66,14.54,176.84,-6.09,0.41,1.66,14.54,176.84,6.63,2.78,380.77,74758,ac
,,,train_a,0 days 21:02:00,-6.09,0.42,1.73,15.02,176.69,-6.09,0.42,1.73,15.02,176.69,6.66,2.4,376.48,34695,ac
,,,train_a,0 days 21:03:00,-5.98,0.24,1.39,12.28,178.22,-5.98,0.24,1.39,12.28,178.22,6.61,2.79,380.91,75312,ac
,,,train_a,0 days 21:04:00,-5.88,0.27,1.95,17.28,178.11,-5.88,0.27,1.95,17.28,178.11,6.53,2.51,381.66,72583,ac
,,,train_a,0 days 21:05:00,-5.88,0.35,1.88,16.84,177.27,-5.88,0.35,1.88,16.84,177.27,6.49,3.27,376.05,100286,ac
,,,train_a,0 days 21:06:00,-6.03,0.39,1.6,14.21,176.93,-6.03,0.39,1.6,14.21,176.93,6.55,2.54,374.28,40753,ac
,,,train_a,0 days 21:07:00,-6.05,0.56,1.18,10.57,175.43,-6.05,0.56,1.18,10.57,175.43,6.49,2.54,374.28,40753,ac
,,,train_a,0 days 21:08:00,-6.04,0.74,0.77,7.09,173.72,-6.04,0.74,0.77,7.09,173.72,6.45,2.78,380.39,70548,ac
,,,train_a,0 days 21:09:00,-5.94,0.73,-0.15,-0.99,173.89,-5.94,0.73,-0.15,-0.99,173.89,6.34,2.54,381.59,85497,ac
,,,train_a,0 days 21:10:00,-5.86,0.94,-0.51,-4.41,171.77,-5.86,0.94,-0.51,-4.41,171.77,6.31,3.13,378.75,69133,ac
,,,train_a,0 days 21:11:00,-5.95,0.86,-0.55,-4.55,172.65,-5.95,0.86,-0.55,-4.55,172.65,6.36,2.71,378.37,91371,ac
,,,train_a,0 days 21:12:00,-5.97,0.99,-0.44,-3.58,171.45,-5.97,0.99,-0.44,-3.58,171.45,6.38,2.78,372.56,35176,ac
,,,train_a,0 days 21:13:00,-5.9,1.08,-0.67,-5.69,170.44,-5.9,1.08,-0.67,-5.69,170.44,6.34,2.92,377.22,82447,ac
,,,train_a,0 days 21:14:00,-5.55,1.26,-1.84,-16.59,168.33,-5.55,1.26,-1.84,-16.59,168.33,6.29,2.79,374.43,36378,ac
,,,train_a,0 days 21:15:00,-5.56,1.38,-1.68,-15.03,167.22,-5.56,1.38,-1.68,-15.03,167.22,6.29,2.59,375.34,39759,ac
,,,train_a,0 days 21:16:00,-5.6,1.39,-1.37,-12.26,167.33,-5.6,1.39,-1.37,-12.26,167.33,6.28,3.06,372.34,47330,ac
,,,train_a,0 days 21:17:00,-5.62,1.57,-1.26,-11.12,165.62,-5.62,1.57,-1.26,-11.12,165.62,6.29,2.71,376.14,38268,ac
,,,train_a,0 days 21:18:00,-5.59,1.58,-1.35,-11.82,165.5,-5.59,1.58,-1.35,-11.82,165.5,6.32,2.75,376.52,30095,ac
,,,train_a,0 days 21:19:00,-5.65,1.52,-1.17,-10.21,166.15,-5.65,1.52,-1.17,-10.21,166.15,6.28,2.6,377.33,46587,ac
,,,train_a,0 days 21:20:00,-5.6,1.64,-1.18,-10.42,164.91,-5.6,1.64,-1.18,-10.42,164.91,6.29,2.67,375.35,40641,ac
,,,train_a,0 days 21:21:00,-5.63,1.65,-1.05,-9.25,164.93,-5.63,1.65,-1.05,-9.25,164.93,6.29,2.56,374.98,43482,ac
,,,train_a,0 days 21:22:00,-5.67,1.57,-0.99,-8.55,165.71,-5.67,1.57,-0.99,-8.55,165.71,6.3,2.53,374.6,44234,ac
,,,train_a,0 days 21:23:00,-5.79,1.33,-0.62,-5.2,168.16,-5.79,1.33,-0.62,-5.2,168.16,6.31,2.53,374.6,44234,ac
,,,train_a,0 days 21:24:00,-5.8,1.32,-0.42,-3.29,168.33,-5.8,1.32,-0.42,-3.29,168.33,6.31,2.52,371.99,50578,ac
,,,train_a,0 days 21:25:00,-5.84,1.38,-0.32,-2.58,167.85,-5.84,1.38,-0.32,-2.58,167.85,6.33,2.87,375.14,45580,ac
,,,train_a,0 days 21:26:00,-5.87,1.4,-0.11,-0.69,167.67,-5.87,1.4,-0.11,-0.69,167.67,6.35,2.11,373,32588,ac
,,,train_a,0 days 21:27:00,-5.86,1.24,-0.1,-0.57,169.08,-5.86,1.24,-0.1,-0.57,169.08,6.31,,,,ac
,,,train_a,0 days 21:28:00,-5.8,1.34,0.03,0.6,167.99,-5.8,1.34,0.03,0.6,167.99,6.28,2.77,374.77,42138,ac
,,,train_a,0 days 21:29:00,-5.84,1.14,0.11,1.38,170.01,-5.84,1.14,0.11,1.38,170.01,6.3,2.19,372.93,33604,ac
,,,train_a,0 days 21:30:00,-5.88,1.12,0.03,0.56,170.2,-5.88,1.12,0.03,0.56,170.2,6.33,2.33,373.18,25201,ac
,,,train_a,0 days 21:31:00,-5.91,1.08,-0.1,-0.6,170.62,-5.91,1.08,-0.1,-0.6,170.62,6.33,2.16,374.4,35258,ac
,,,train_a,0 days 21:32:00,-5.91,1.13,-0.13,-0.83,170.12,-5.91,1.13,-0.13,-0.83,170.12,6.33,2.5,372.91,34607,ac
,,,train_a,0 days 21:33:00,-5.89,0.97,-0.04,0,171.51,-5.89,0.97,-0.04,0,171.51,6.3,2.3,378.58,81755,ac
,,,train_a,0 days 21:34:00,-5.91,0.97,0,0.35,171.55,-5.91,0.97,0,0.35,171.55,6.32,2.36,374.44,25003,ac
,,,train_a,0 days 21:35:00,-5.92,0.93,0.18,1.98,171.92,-5.92,0.93,0.18,1.98,171.92,6.32,2.55,371.26,53387,ac
,,,train_a,0 days 21:36:00,-5.94,0.85,0.29,2.84,172.7,-5.94,0.85,0.29,2.84,172.7,6.34,2.43,371.48,38020,ac
,,,train_a,0 days 21:37:00,-5.93,0.9,0.27,2.69,172.24,-5.93,0.9,0.27,2.69,172.24,6.33,2.39,377.16,77342,ac
,,,train_a,0 days 21:38:00,-5.99,0.85,0.31,2.97,172.79,-5.99,0.85,0.31,2.97,172.79,6.38,2.38,379.91,64749,ac
,,,train_a,0 days 21:39:00,-5.99,0.75,0.31,3.02,173.64,-5.99,0.75,0.31,3.02,173.64,6.37,2.38,379.91,64749,ac
